age,month_application,date_application,employment_status,gender,loan_purpose,loan_amount_range,loan_amount
29,July,27/07/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",305
29,April,25/04/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
29,November,02/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
29,September,12/09/2019,FULL TIME,Male,Car,"1,001 - 5,000",4500
29,June,28/06/2019,FULL TIME,Male,Personal,"0 - 1,000",600
29,January,18/01/2019,FULL TIME,Male,Home,"0 - 1,000",500
29,July,30/07/2019,FULL TIME,Male,Car,"5,001 - 10,000",6000
29,April,12/04/2019,PART TIME,Male,Student,"0 - 1,000",500
29,July,19/07/2019,FULL TIME,Male,Car,"5,001 - 10,000",9000
29,May,31/05/2019,FULL TIME,Male,Personal,"0 - 1,000",0
29,August,15/08/2019,FULL TIME,Male,Home,"1,001 - 5,000",2500
29,March,19/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
29,September,11/09/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
29,November,22/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250.47
29,May,31/05/2019,FULL TIME,Male,Car,"0 - 1,000",600
29,October,07/10/2019,FULL TIME,Male,Car,"0 - 1,000",700
29,May,17/05/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1500
29,March,13/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
29,July,17/07/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
29,December,13/12/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
29,April,09/04/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",600
29,November,06/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",400
29,July,11/07/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",600
29,April,16/04/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",5000
29,February,15/02/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",8000
29,February,02/02/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",4000
29,March,29/03/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",8000
29,June,10/06/2019,FULL TIME,FEMALE,Home,"0 - 1,000",1000
29,November,14/11/2019,FULL TIME,FEMALE,Home,"5,001 - 10,000",10000
29,March,15/03/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",5000
29,January,09/01/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",3000
29,September,17/09/2019,FULL TIME,FEMALE,Home,"5,001 - 10,000",10000
29,January,04/01/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
29,December,13/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
29,March,04/03/2019,FULL TIME,Male,Car,"0 - 1,000",500
29,October,19/10/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2000
29,October,19/10/2019,PART TIME,FEMALE,Personal,"1,001 - 5,000",1500
29,February,25/02/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",415
29,July,09/07/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
29,June,14/06/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2000
29,October,16/10/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
29,August,08/08/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",15000
29,January,28/01/2019,STUDENT,FEMALE,Student,"0 - 1,000",250
29,August,07/08/2019,STUDENT,FEMALE,Student,"0 - 1,000",700
29,June,24/06/2019,FULL TIME,Male,Home,"5,001 - 10,000",7000
29,December,30/12/2019,FULL TIME,Male,Car,"10,001 - 15,000",13000
29,March,09/03/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
30,May,15/05/2019,FULL TIME,Male,Personal,"0 - 1,000",250
30,September,06/09/2019,FULL TIME,Male,Car,"0 - 1,000",1000
30,April,30/04/2019,FULL TIME,FEMALE,Home,"0 - 1,000",500
30,July,17/07/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",500
30,September,13/09/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",600
30,June,28/06/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
30,June,25/06/2019,FULL TIME,FEMALE,Home,"0 - 1,000",500
30,April,10/04/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",4000
30,June,24/06/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",200
30,April,26/04/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",15000
30,May,13/05/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",5000
30,March,29/03/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",15000
30,December,05/12/2019,FULL TIME,Male,Personal,"0 - 1,000",350
30,October,07/10/2019,FULL TIME,Male,Home,"25,001 - 50,000",30000
30,March,16/03/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
30,April,29/04/2019,PART TIME,FEMALE,Personal,"0 - 1,000",300
30,January,03/01/2019,PART TIME,Male,Student,"1,001 - 5,000",1500
30,May,18/05/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",600
30,August,21/08/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",6000
30,February,01/02/2019,FULL TIME,Male,Personal,"15,001 - 25,000",25000
30,March,13/03/2019,FULL TIME,Male,Personal,"15,001 - 25,000",25000
30,October,02/10/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1800
30,May,11/05/2019,STUDENT,Male,Car,"0 - 1,000",500
30,June,28/06/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",3000
30,May,16/05/2019,SOCIAL WELFARE,FEMALE,Personal,"0 - 1,000",250
30,December,10/12/2019,SOCIAL WELFARE,FEMALE,Personal,"0 - 1,000",280
30,April,01/04/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
30,June,05/06/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
30,November,21/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
30,May,03/05/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
30,September,20/09/2019,FULL TIME,Male,Personal,"15,001 - 25,000",17000
30,March,01/03/2019,FULL TIME,Male,Personal,"1,001 - 5,000",5000
30,October,14/10/2019,FULL TIME,Male,Home,"25,001 - 50,000",50000
30,January,19/01/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",350
30,March,30/03/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",350
30,August,19/08/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",6000
30,April,16/04/2019,PART TIME,FEMALE,Personal,"0 - 1,000",700
30,January,23/01/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",3000
30,May,23/05/2019,PART TIME,FEMALE,Car,"0 - 1,000",1000
30,November,01/11/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",2000
30,October,04/10/2019,FULL TIME,Male,Personal,"5,001 - 10,000",6500
30,March,01/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
30,May,02/05/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
30,June,26/06/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
30,October,23/10/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
30,June,15/06/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",4500
30,January,22/01/2019,UNEMPLOYED,FEMALE,Agri,"1,001 - 5,000",3800
30,April,10/04/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",12000
30,May,17/05/2019,FULL TIME,FEMALE,Home,"25,001 - 50,000",50000
30,August,22/08/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
30,October,23/10/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",400
30,December,17/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",1000
30,April,27/04/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
30,August,28/08/2019,PART TIME,FEMALE,Home,"0 - 1,000",500
30,December,13/12/2019,PART TIME,FEMALE,Personal,"0 - 1,000",1000
30,January,23/01/2019,PART TIME,FEMALE,Home,"0 - 1,000",1000
30,May,24/05/2019,PART TIME,FEMALE,Home,"0 - 1,000",1000
30,October,07/10/2019,PART TIME,FEMALE,Home,"1,001 - 5,000",1500
30,December,23/12/2019,PART TIME,FEMALE,Personal,"0 - 1,000",1000
30,March,27/03/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
30,July,16/07/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",750
30,November,25/11/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",500
30,February,15/02/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2500
30,August,26/08/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",7000
30,December,05/12/2019,PART TIME,FEMALE,Personal,"1,001 - 5,000",4000
30,March,05/03/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",7000
30,February,06/02/2019,FULL TIME,FEMALE,Car,"10,001 - 15,000",13000
30,March,29/03/2019,FULL TIME,Male,Home,"5,001 - 10,000",7000
30,May,31/05/2019,FULL TIME,Male,Car,"1,001 - 5,000",1200
30,July,12/07/2019,FULL TIME,Male,Home,"5,001 - 10,000",6000
30,February,26/02/2019,FULL TIME,Male,Home,"25,001 - 50,000",33600
30,September,14/09/2019,FULL TIME,Male,Car,"5,001 - 10,000",8500
30,January,04/01/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2000
30,May,16/05/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2500
30,December,07/12/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2800
30,March,04/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",200
30,August,08/08/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
30,April,24/04/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
30,April,04/04/2019,PART TIME,Male,Personal,"5,001 - 10,000",10000
30,October,19/10/2019,FULL TIME,Male,Personal,"1,001 - 5,000",4000
30,July,06/07/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1200
30,November,06/11/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1200
30,November,28/11/2019,FULL TIME,FEMALE,Car,"0 - 1,000",700
30,May,24/05/2019,FULL TIME,FEMALE,Personal,"15,001 - 25,000",20000
30,September,07/09/2019,FULL TIME,FEMALE,Student,"1,001 - 5,000",2000
30,May,30/05/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",5000
30,January,28/01/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",400
30,November,01/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
30,February,07/02/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",1500
30,August,22/08/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",6321.63
30,May,23/05/2019,PART TIME,FEMALE,Personal,"5,001 - 10,000",6000
30,September,14/09/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
30,November,29/11/2019,FULL TIME,Male,Personal,"0 - 1,000",600
30,February,12/02/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",3000
30,November,27/11/2019,FULL TIME,FEMALE,Home,"15,001 - 25,000",25000
31,June,12/06/2019,PART TIME,FEMALE,Personal,"1,001 - 5,000",3000
31,February,02/02/2019,STUDENT,FEMALE,Personal,"0 - 1,000",500
31,August,26/08/2019,STUDENT,FEMALE,Personal,"0 - 1,000",600
31,November,22/11/2019,STUDENT,FEMALE,Personal,"0 - 1,000",300
31,July,18/07/2019,FULL TIME,FEMALE,Personal,"15,001 - 25,000",25000
31,May,01/05/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
31,November,14/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",272.98
31,March,11/03/2019,PART TIME,FEMALE,Car,"10,001 - 15,000",10500
31,December,18/12/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",5000
31,January,26/01/2019,FULL TIME,Male,Student,"1,001 - 5,000",5000
31,October,09/10/2019,FULL TIME,Male,Personal,"1,001 - 5,000",4000
31,March,06/03/2019,FULL TIME,Male,Student,"1,001 - 5,000",2000
31,September,04/09/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",350
31,November,26/11/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
31,January,31/01/2019,PART TIME,FEMALE,Home,"1,001 - 5,000",5000
31,September,04/09/2019,PART TIME,Male,Personal,"0 - 1,000",500
31,May,27/05/2019,PART TIME,FEMALE,Personal,"0 - 1,000",400
31,July,02/07/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",1200
31,December,03/12/2019,PART TIME,FEMALE,Home,"0 - 1,000",500
31,June,27/06/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",4000
31,August,27/08/2019,PART TIME,FEMALE,Car,"0 - 1,000",600
31,July,04/07/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",10000
31,April,23/04/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",750
31,September,18/09/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",1000
31,January,04/01/2019,FULL TIME,FEMALE,Car,"0 - 1,000",400
31,November,11/11/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",2500
31,March,23/03/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
31,August,20/08/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",1200
31,December,10/12/2019,PART TIME,FEMALE,Home,"0 - 1,000",1000
31,December,13/12/2019,STUDENT,Male,Personal,"1,001 - 5,000",2500
31,November,28/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",1500
31,March,08/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
31,August,15/08/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
31,February,23/02/2019,FULL TIME,Male,Car,"5,001 - 10,000",6500
31,April,13/04/2019,FULL TIME,Male,Home,"1,001 - 5,000",2000
31,June,08/06/2019,FULL TIME,Male,Personal,"5,001 - 10,000",7000
31,May,15/05/2019,FULL TIME,Male,Home,"0 - 1,000",500
31,August,31/08/2019,FULL TIME,Male,Home,"1,001 - 5,000",4000
31,December,23/12/2019,FULL TIME,Male,Home,"0 - 1,000",700
31,December,03/12/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1500
31,May,31/05/2019,FULL TIME,Male,Home,"1,001 - 5,000",3000
31,April,02/04/2019,FULL TIME,Male,Car,"5,001 - 10,000",7000
31,August,28/08/2019,FULL TIME,Male,Personal,"0 - 1,000",340
31,July,02/07/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
31,January,15/01/2019,FULL TIME,Male,Car,"10,001 - 15,000",15000
31,October,03/10/2019,FULL TIME,Male,Car,"1,001 - 5,000",5000
31,September,25/09/2019,FULL TIME,FEMALE,Home,"0 - 1,000",900
31,November,09/11/2019,SOCIAL WELFARE,FEMALE,Personal,"0 - 1,000",1000
31,February,18/02/2019,PART TIME,FEMALE,Car,"15,001 - 25,000",16500
31,May,17/05/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
31,August,12/08/2019,PART TIME,FEMALE,Personal,"1,001 - 5,000",4490
31,November,16/11/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",5000
31,April,06/04/2019,PART TIME,FEMALE,Home,"5,001 - 10,000",5500
31,February,08/02/2019,FULL TIME,Male,Home,"1,001 - 5,000",3000
31,March,01/03/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2300
31,October,02/10/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
31,August,06/08/2019,PART TIME,FEMALE,Home,"1,001 - 5,000",5000
32,August,06/08/2019,FULL TIME,Male,Personal,"1,001 - 5,000",5000
32,February,20/02/2019,FULL TIME,Male,Home,"50,001 - 100,000",98600
32,September,06/09/2019,PART TIME,Male,Home,"1,001 - 5,000",2000
32,February,19/02/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",6800
32,March,30/03/2019,FULL TIME,Male,Student,"10,001 - 15,000",12000
32,July,01/07/2019,FULL TIME,Male,Home,"50,001 - 100,000",60000
32,June,22/06/2019,FULL TIME,Male,Car,"5,001 - 10,000",6000
32,October,02/10/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
32,December,16/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
32,May,31/05/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
32,January,19/01/2019,FULL TIME,Male,Car,"5,001 - 10,000",7000
32,May,16/05/2019,FULL TIME,Male,Home,"1,001 - 5,000",2000
32,September,17/09/2019,FULL TIME,Male,Home,"0 - 1,000",650
32,April,20/04/2019,FULL TIME,FEMALE,Home,"25,001 - 50,000",35000
32,July,19/07/2019,FULL TIME,FEMALE,Home,"25,001 - 50,000",35000
32,November,15/11/2019,FULL TIME,FEMALE,Home,"25,001 - 50,000",45000
32,November,21/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
32,April,05/04/2019,PART TIME,FEMALE,Home,"25,001 - 50,000",39000
32,July,23/07/2019,UNEMPLOYED,Male,Personal,"1,001 - 5,000",1200
32,February,16/02/2019,FULL TIME,Male,Car,"10,001 - 15,000",14500
32,February,02/02/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
32,December,02/12/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
32,October,11/10/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",5000
32,September,05/09/2019,UNEMPLOYED,Male,Home,"10,001 - 15,000",15000
32,September,12/09/2019,FULL TIME,Male,Home,"Over 100,000",102500
32,April,02/04/2019,FULL TIME,Male,Car,"5,001 - 10,000",7000
32,February,07/02/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",300
32,March,30/03/2019,UNEMPLOYED,Male,Car,"1,001 - 5,000",1500
32,June,24/06/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",700
32,August,24/08/2019,UNEMPLOYED,Male,Home,"0 - 1,000",1000
32,November,27/11/2019,UNEMPLOYED,Male,Home,"1,001 - 5,000",1200
32,August,14/08/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",1500
32,May,30/05/2019,FULL TIME,Male,Home,"50,001 - 100,000",60000
32,May,02/05/2019,FULL TIME,FEMALE,Home,"25,001 - 50,000",50000
32,February,18/02/2019,PART TIME,FEMALE,Personal,"0 - 1,000",250
32,July,26/07/2019,PART TIME,FEMALE,Personal,"0 - 1,000",450
32,May,11/05/2019,FULL TIME,FEMALE,Personal,"15,001 - 25,000",17000
32,April,30/04/2019,PART TIME,FEMALE,Car,"0 - 1,000",500
32,August,08/08/2019,PART TIME,FEMALE,Personal,"0 - 1,000",300
32,November,11/11/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
32,April,23/04/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",14000
32,February,01/02/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",600
32,June,04/06/2019,UNEMPLOYED,FEMALE,Car,"1,001 - 5,000",5000
32,June,14/06/2019,FULL TIME,FEMALE,Home,"0 - 1,000",400
32,December,13/12/2019,FULL TIME,FEMALE,Home,"0 - 1,000",300
32,April,24/04/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
32,October,25/10/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
32,October,22/10/2019,FULL TIME,Male,Home,"5,001 - 10,000",7000
32,December,06/12/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2500
32,September,17/09/2019,FULL TIME,Male,Home,"50,001 - 100,000",100000
32,April,12/04/2019,FULL TIME,Male,Personal,"0 - 1,000",250
32,February,19/02/2019,FULL TIME,Male,Car,"1,001 - 5,000",2000
32,May,17/05/2019,FULL TIME,Male,Home,"1,001 - 5,000",1300
32,December,14/12/2019,FULL TIME,Male,Home,"1,001 - 5,000",1200
32,January,11/01/2019,UNEMPLOYED,Male,Car,"0 - 1,000",400
32,August,26/08/2019,PART TIME,FEMALE,Car,"5,001 - 10,000",6000
32,May,18/05/2019,FULL TIME,FEMALE,Personal,"15,001 - 25,000",20000
32,June,27/06/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",2500
32,October,18/10/2019,PART TIME,FEMALE,Student,"0 - 1,000",900
32,January,23/01/2019,UNEMPLOYED,FEMALE,Car,"1,001 - 5,000",2500
32,August,26/08/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2500
32,February,23/02/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
32,November,27/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",366
32,October,04/10/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",3500
32,March,20/03/2019,UNEMPLOYED,FEMALE,Car,"0 - 1,000",700
32,March,15/03/2019,FULL TIME,Male,Personal,"0 - 1,000",500
32,July,06/07/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
32,October,14/10/2019,FULL TIME,Male,Personal,"0 - 1,000",600
32,November,12/11/2019,FULL TIME,Male,Home,"0 - 1,000",800
32,August,10/08/2019,FULL TIME,Male,Home,"5,001 - 10,000",7000
32,November,23/11/2019,HOMEMAKER,FEMALE,Personal,"0 - 1,000",500
32,February,12/02/2019,UNEMPLOYED,FEMALE,Car,"5,001 - 10,000",7500
32,June,21/06/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",1000
32,July,16/07/2019,FULL TIME,Male,Home,"25,001 - 50,000",35000
32,November,16/11/2019,UNEMPLOYED,FEMALE,Personal,"1,001 - 5,000",1500
32,April,26/04/2019,FULL TIME,Male,Car,"1,001 - 5,000",1200
32,October,02/10/2019,FULL TIME,FEMALE,Home,"25,001 - 50,000",40000
32,February,14/02/2019,UNEMPLOYED,FEMALE,Home,"1,001 - 5,000",3000
32,November,23/11/2019,UNEMPLOYED,FEMALE,Home,"1,001 - 5,000",1250
32,February,19/02/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",5000
32,July,29/07/2019,FULL TIME,Male,Personal,"5,001 - 10,000",10000
33,March,08/03/2019,UNEMPLOYED,Male,Home,"1,001 - 5,000",1500
33,June,04/06/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",3500
33,October,07/10/2019,UNEMPLOYED,FEMALE,Car,"1,001 - 5,000",1200
33,August,16/08/2019,FULL TIME,Male,Personal,"5,001 - 10,000",10000
33,November,30/11/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
33,August,17/08/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
33,March,16/03/2019,FULL TIME,FEMALE,Student,"1,001 - 5,000",2200
33,May,18/05/2019,FULL TIME,Male,Personal,"0 - 1,000",500
33,July,25/07/2019,FULL TIME,Male,Car,"1,001 - 5,000",4500
33,October,22/10/2019,FULL TIME,Male,Personal,"0 - 1,000",600
33,June,21/06/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2000
33,February,21/02/2019,FULL TIME,Male,Home,"15,001 - 25,000",20000
33,March,30/03/2019,FULL TIME,Male,Home,"15,001 - 25,000",25000
33,June,25/06/2019,FULL TIME,Male,Home,"15,001 - 25,000",25000
33,December,18/12/2019,FULL TIME,Male,Home,"5,001 - 10,000",10000
33,July,01/07/2019,FULL TIME,FEMALE,Home,"5,001 - 10,000",6000
33,August,31/08/2019,FULL TIME,Male,Personal,"1,001 - 5,000",3500
33,January,18/01/2019,UNEMPLOYED,FEMALE,Car,"0 - 1,000",1000
33,April,05/04/2019,UNEMPLOYED,FEMALE,Personal,"1,001 - 5,000",1500
33,January,23/01/2019,FULL TIME,Male,Personal,"1,001 - 5,000",3000
33,December,30/12/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1412.6
33,November,28/11/2019,FULL TIME,Male,Home,"1,001 - 5,000",1500
33,August,12/08/2019,FULL TIME,Male,Home,"25,001 - 50,000",50000
33,March,27/03/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
33,July,12/07/2019,FULL TIME,FEMALE,Student,"1,001 - 5,000",3000
33,May,03/05/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2500
33,April,11/04/2019,PART TIME,FEMALE,Personal,"0 - 1,000",1000
33,March,19/03/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",4500
33,March,19/03/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",1500
33,September,21/09/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",700
33,December,16/12/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2500
33,April,02/04/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",3500
33,June,28/06/2019,FULL TIME,FEMALE,Car,"0 - 1,000",1000
33,December,07/12/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",1500
33,July,03/07/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",10000
33,May,02/05/2019,FULL TIME,Male,Personal,"0 - 1,000",600
33,December,06/12/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
33,July,25/07/2019,FULL TIME,Male,Car,"1,001 - 5,000",1800
33,April,26/04/2019,FULL TIME,Male,Car,"0 - 1,000",1000
33,November,18/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
33,November,29/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",470.31
33,April,20/04/2019,FULL TIME,Male,Personal,"5,001 - 10,000",6000
33,August,30/08/2019,FULL TIME,Male,Home,"1,001 - 5,000",1500
33,February,16/02/2019,FULL TIME,Male,Personal,"0 - 1,000",500
33,July,06/07/2019,FULL TIME,Male,Personal,"0 - 1,000",300
33,August,10/08/2019,FULL TIME,Male,Personal,"0 - 1,000",700
33,December,23/12/2019,FULL TIME,Male,Home,"25,001 - 50,000",40000
33,May,02/05/2019,FULL TIME,Male,Home,"50,001 - 100,000",61200
33,February,01/02/2019,FULL TIME,Male,Personal,"1,001 - 5,000",3500
33,November,27/11/2019,FULL TIME,Male,Personal,"0 - 1,000",380
33,May,16/05/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
33,November,19/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",265
33,May,17/05/2019,FULL TIME,Male,Home,"0 - 1,000",1000
33,December,14/12/2019,FULL TIME,Male,Home,"1,001 - 5,000",2500
33,June,08/06/2019,FULL TIME,Male,Home,"1,001 - 5,000",5000
33,April,18/04/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",350
33,October,17/10/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",550
33,February,07/02/2019,PART TIME,FEMALE,Car,"5,001 - 10,000",7000
33,January,15/01/2019,FULL TIME,FEMALE,Home,"0 - 1,000",600
33,May,10/05/2019,FULL TIME,FEMALE,Car,"0 - 1,000",1000
33,September,05/09/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",4000
33,November,06/11/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",1500
33,February,20/02/2019,PART TIME,FEMALE,Home,"0 - 1,000",600
33,September,07/09/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2100
33,June,28/06/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
33,September,21/09/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
33,October,07/10/2019,UNEMPLOYED,FEMALE,Personal,"1,001 - 5,000",5000
33,May,18/05/2019,FULL TIME,Male,Home,"1,001 - 5,000",4000
33,March,04/03/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",15000
33,March,08/03/2019,FULL TIME,Male,Personal,"5,001 - 10,000",8000
33,October,19/10/2019,FULL TIME,Male,Home,"5,001 - 10,000",6000
33,November,07/11/2019,FULL TIME,Male,Car,"5,001 - 10,000",8000
33,February,12/02/2019,CONTRACT,FEMALE,Personal,"1,001 - 5,000",4500
33,April,27/04/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
